کلمه,علامت,توضیح ۱,توضیح ۲
وال,0,بقره ۲۴۸ میتونه باشه؟,
ورد,0,,
وفي,0,,
وكل,0,تو سجده ۱۱ واو چسبیده,
ولي,0,هم به معنای سرپرست و هم در آیه سوره کافرون ,
وليتم,0,,
وليقولوا,0,,
وهب,0,,
والارض,0,,
والسماء,0,,
والشمس,0,,
والقران,0,,
والقمر,0,,
والكتاب,0,,
والله,0,,
والنهار,0,,
وربك,0,,
وربنا,0,,
وهذا,0,,
وابل,1,,
واثقكم,1,,
واجفة,1,,
واحد,1,,
واحدا,1,,
واحدة,1,,
واد,1,,
واديا,1,,
واردها,1,,
واردهم,1,,
واردون,1,,
وازرة,1,,
واسع,1,,
واسعا,1,,
واسعة,1,,
واصب,1,,
واصبا,1,,
واعدنا,1,,
واعدوا,1,,
واعية,1,,
واق,1,,
واقع,1,,
والد,1,,
والدة,1,,
والدتك,1,,
والده,1,,
والدي,1,,
واهية,1,,
وبال,1,,
وبيلا,1,,
وثاقه,1,,
وجبت,1,,
وجد,1,,
وجدت,1,,
وجدتم,1,,
وجدتموهم,1,,
وجدتها,1,,
وجدكم,1,,
وجدنا,1,,
وجدناه,1,,
وجدها,1,,
وجدوا,1,,
وجلة,1,,
وجلت,1,,
وجلون,1,,
وجه,1,,
وجهة,1,,
وجهت,1,,
وجهك,1,,
وجهه,1,,
وجهها,1,,
وجهي,1,,
وجوه,1,,
وجوها,1,,
وجوهكم,1,,
وجوههم,1,,
وجيها,1,,
وحده,1,,
وحي,1,,
وحيا,1,,
وحيدا,1,,
وحيه,1,,
ود,1,,
ودا,1,,
ودت,1,,
ودعك,1,,
ودوا,1,,
ودود,1,,
وراء,1,,
وراءكم,1,,
وراءه,1,,
وراءهم,1,,
ورائكم,1,,
ورائه,1,,
ورائهم,1,,
ورائي,1,,
ورثة,1,,
ورثوا,1,,
وردا,1,,
وردة,1,,
وردوها,1,,
ورق,1,,
ورقة,1,,
وزر,1,,
وزرا,1,,
وزرك,1,,
وزنا,1,,
وزيرا,1,,
وسطا,1,,
وسع,1,,
وسعت,1,,
وسعها,1,,
وسق,1,,
وصاكم,1,,
وصفهم,1,,
وصل,1,,
وصلنا,1,,
وصي,1,,
وصية,1,,
وصيلة,1,,
وصينا,1,,
وضع,1,,
وضعت,1,,
وضعتها,1,,
وضعها,1,,
وطئا,1,,
وطرا,1,,
وعاء,1,,
وعد,1,,
وعدا,1,,
وعدتنا,1,,
وعدتهم,1,,
وعدك,1,,
وعدكم,1,,
وعدنا,1,,
وعدناه,1,,
وعدناهم,1,,
وعده,1,,
وعدها,1,,
وعدهم,1,,
وعدوه,1,,توبه ۷۷
وعيد,1,,
وفاقا,1,,
وفدا,1,,
وقارا,1,,
وقب,1,,
وقر,1,,
وقرا,1,,
وقع,1,,
وقعت,1,,
وقفوا,1,,
وقود,1,,
وقودها,1,,
وكلنا,1,,
وكيل,1,,
وكيلا,1,,
ولاهم,1,???,
ولايتهم,1,,
ولتات,1,???,
ولتكن,1,???,
ولد,1,,
ولدا,1,,
ولدان,1,,
ولدت,1,,
ولدنهم,1,,
ولده,1,,
ولكنكم,1,???,
ولكنه,1,???,
ولكنهم,1,???,
ولكني,1,???,
ولوا,1,,
ولياخذوا,1,,
وليتق,1,???,
وليتلطف,1,???,
وليجة,1,,
وليجدوا,1,,
وليحكم,1,,
وليخش,1,???,
وليدا,1,,
وليدع,1,???,
وليستعفف,1,,
وليشهد,1,,
وليصفحوا,1,,
وليضربن,1,,
وليطوفوا,1,,
وليعفوا,1,,
وليكتب,1,,
وليكم,1,,
وليملل,1,???,
ولينا,1,,
وليه,1,,
وليهم,1,,
وليهما,1,,
وليوفوا,1,,
وليومنوا,1,,
وليي,1,,
وهاجا,1,,
وهبت,1,,
وهبنا,1,,
وهن,1,,
وهنا,1,,
وهنوا,1,,
ووري,1,,
ويكان,1,???,
ويكانه,1,???,
ويل,1,,
ويلتا,1,,
ويلتنا,1,,
ويلتي,1,,
ويلك,1,???,
ويلكم,1,,
ويلنا,1,,
ويلههم,1,???,
والبحر,1,,
والبيت,1,,
والتين,1,,
والذاريات,1,,
والسابحات,1,,
والسقف,1,,
والشفع,1,,
والصافات,1,,
والصبح,1,,
والضحي,1,,
والطور,1,,
والعاديات,1,,
والعصر,1,,
والفجر,1,,
والقلم,1,,
والليل,1,,
والمرسلات,1,,
والنازعات,1,,
والناشرات,1,,
والناشطات,1,,
والنجم,1,,
واليوم,1,,
وربي,1,,
وشاهد,1,,
وطور,2,,
وكتاب,1,,
وليال,1,,
ونفس,1,,
ووالد,1,,
وابا,2,,عبس ۳۱
واباءهم,2,,
واباريق,2,,
واباوكم,2,,
واباونا,2,,
وابتغ,2,,
وابتغاء,2,,
وابتغاوكم,2,,
وابتغوا,2,,
وابتلوا,2,,
وابرئ,2,,
وابراهيم,2,,
وابشروا,2,,
وابصارا,2,,
وابصاركم,2,,
وابصارهم,2,,
وابصر,2,,
وابصرهم,2,,
وابعث,2,,
وابقي,2,,
وابكارا,2,,
وابكي,2,,
وابلغكم,2,,
وابن,2,,
وابناءكم,2,,
وابنائنا,2,,
وابناوكم,2,,
وابنها,2,,
وابونا,2,,
وابي,2,,طه ۵۶
وابيضت,2,,
وابيه,2,,
وات,2,,
واتاكم,2,,
واتاني,2,,
واتاه,2,,
واتاهم,2,,
واتبع,2,,
واتبعت,2,,
واتبعتهم,2,,
واتبعك,2,,
واتبعنا,2,,
واتبعناهم,2,,
واتبعوا,2,,
واتبعون,2,,
